Word,Difficulty Level,Vowel Harmony Rule,Arabic Translation,Usage Sentence (Turkish),Usage Sentence (Arabic)
kurt,B1,I-type (back),ذئب,Kurt çok vahşi.,الذئب متوحش جداً
atom,B2,I-type (back),ذرة,Atom çok küçük.,الذرة صغيرة جداً
kol,A1,I-type (back),ذراع,Sağ kol,الذراع الأيمن
din,B2,E-type (front),دين,Din çok önemli.,الدين مهم جداً.
horoz,B1,I-type (back),ديك,Horoz sabah öter.,الديك يصيح في الصباح
horoz,A1,I-type (back),ديك,Horoz öttü.,الديك صاح.
diskotik,A2,E-type (front),ديسكو,Diskotek eğlenceli,الديسكو ممتع
doçent,B2,E-type (front),دوسنت,Doçent makale yazdı.,الدوسنت كتب مقالاً.
motosiklet,B1,E-type (front),دراجة نارية,Motosiklet tehlikeli.,الدراجة النارية خطيرة.
tavuk,A2,I-type (back),دجاجة,Tavuk yumurta verir.,الدجاجة تبيض
tavuk,A1,I-type (back),دجاج,Tavuk yumurta veriyor.,الدجاج يبيض.
pekmez,B1,E-type (front),دبس,Pekmez çok tatli.,الدبس حلو جداً.
ayı,A1,I-type (back),دب,Ayı ormanda yaşar.,الدب يعيش في الغابة.
ayı,B1,I-type (back),دب,Ayı ormanda yaşar.,الدب يعيش في الغابة
sirke,A2,E-type (front),خل,Sirke salata için.,الخل للسلطة.
çiğ,B1,E-type (front),نيء,Çiğ sebze sağlıklı,الخضروات النيئة صحية
sebze,A2,E-type (front),خضار,Sebze çok faydalı.,الخضار مفيدة جداً.
sonbahar,B1,I-type (back),خريف,Sonbahar güzel bir mevsim.,الخريف فصل جميل.
koyun,A1,I-type (back),خروف,Koyun otluyor.,الخروف يأكل العشب.
koyun,A1,I-type (back),خروف,Koyunlar otlakta.,الخراف في المرعى.
koyun,B1,I-type (back),خروف,Koyunlar otlakta.,الخراف في المرعى
berber,A2,E-type (front),حلاق,Berber saç kesti.,الحلاق قص الشعر.
tarla,B1,I-type (back),حقل,Tarla çok geniş.,الحقل واسع جداً.
at,A1,I-type (back),حصان,At koşuyor.,الحصان يجري.
at,A2,I-type (back),حصان,At çok güzel bir hayvan.,الحصان حيوان جميل جداً
at,A1,I-type (back),حصان,Beyaz at çok güzel.,الحصان الأبيض جميل جداً.
özgürlük,C1,E-type (front),حرية,Özgürlük çok değerli.,الحرية ثمينة جداً.
bahçe,A2,E-type (front),حديقة,Bahçe çok güzel.,الحديقة جميلة جداً.
sinir,B1,E-type (front),عصب,Sinir sistemi,الجهاز العصبي
buz,A1,I-type (back),جليد,Buz çok soğuk,الجليد بارد جداً
köprü,B1,I-type (back),جسر,Köprü çok uzun.,الجسر طويل جداً.
traktör,B1,E-type (front),جرار,Traktör tarlada.,الجرار في الحقل.
gövde,B2,I-type (back),جذع,Gövde çok kalın.,الجذع سميك جداً.
kök,B2,I-type (back),جذر,Kök çok derin.,الجذر عميق جداً.
dere,B1,E-type,جدول,Küçük dere akıyor,الجدول الصغير يجري
duvar,A1,I-type (back),جدار,Duvar beyaz.,الجدار أبيض.
dağ,A1,I-type (back),جبل,Dağ çok yüksek.,الجبل عالي جداً.
dağ,A1,I-type (back),جبل,Dağ çok yüksek.,الجبل عالي جداً.
cadde,B1,E-type (front),جادة,Ana cadde çok geniş.,الجادة الرئيسية واسعة جداً.
kar,A1,I-type (back),ثلج,Kar yağıyor,الثلج ينزل
kar,A1,I-type (back),ثلج,Kar yağıyor.,الثلج يتساقط.
kar,A1,I-type (back),ثلج,Kar yağıyor.,الثلج يتساقط.
beyaz,A1,I-type (back),أبيض,Beyaz kar yağıyor.,الثلج الأبيض يتساقط.
beyaz,A1,I-type (back),أبيض,Beyaz kar yağıyor.,الثلج الأبيض يتساقط
buzdolabı,A1,Mixed,ثلاجة,Buzdolabı soğuk.,الثلاجة باردة.
kültür,B2,E-type (front),ثقافة,Türk kültürü zengin.,الثقافة التركية غنية
tilki,B2,E-type (front),ثعلب,Tilki çok kurnaz.,الثعلب ماكر جداً
kulakanfeksiyonu,B2,I-type (back),التهاب الأذن,Kulak enfeksiyonu tehlikeli,التهاب الأذن خطير
nefes,A2,E-type (front),نفس,Nefes almak,التنفس
heykel,B2,E-type (front),تمثال,Heykel çok büyük.,التمثال كبير جداً
teknoloji,B2,E-type (front),تكنولوجيا,Teknoloji hızla gelişiyor.,التكنولوجيا تتطور بسرعة
kafeterya,A2,I-type (back),كافيتيريا,Kafeteryada arkadaşlarla buluştuk.,التقينا بالأصدقاء في الكافيتيريا.
fotoğraf,A2,I-type (back),صورة,Fotoğraf çektim.,التقطت صورة.
fotoğraf,A2,I-type (back),صورة,Fotoğraf çektim.,التقطت صورة.
tomografi,C1,I-type (back),تصوير مقطعي,Tomografi çekimi,التصوير المقطعي
paten,B1,I-type (back),حذاء تزلج,Paten kaymak eğlenceli.,التزلج بالحذاء ممتع.
dil,A1,E-type (front),لسان/لغة,Türkçe güzel bir dil.,التركية لغة جميلة
çürüme,B2,E-type (front),تحلل,Radyoaktif çürüme,التحلل الإشعاعي
ticaret,B2,I-type (back),تجارة,Ticaret gelişiyor.,التجارة تتطور
pide,A2,E-type (front),بيدة,Pide çok güzel.,البيدة جميلة جداً.
yapı,C1,I-type (back),بناء,Yeni yapı çok modern.,البناء الجديد حديث جداً.
inek,A1,E-type (front),بقرة,İnek süt verir.,البقرة تعطي الحليب.
inek,A1,E-type (front),بقرة,İnek süt veriyor.,البقرة تعطي الحليب.
inek,A2,E-type (front),بقرة,İnek süt verir.,البقرة تعطي الحليب
profesör,B1,E-type (front),بروفيسور,Profesör konferans verdi.,البروفيسور ألقى محاضرة.
şimşek,B1,E-type,برق,Şimşek çaktı,البرق لمع
bulgur,A2,I-type (back),برغل,Bulgur pilav lezzetli.,البرغل بيلاف لذيذ.
deniz,A1,E-type (front),بحر,Deniz çok mavi.,البحر أزرق جداً.
deniz,A1,E-type (front),بحر,Deniz çok mavi.,البحر أزرق جداً.
deniz,A1,E-type,بحر,Mavi deniz,البحر الأزرق
açık,A1,I-type (back),مفتوح,Kapı açık.,الباب مفتوح.
açık,A1,I-type (back),مفتوح/فاتح,Kapı açık.,الباب مفتوح
opera,B2,I-type (back),أوبرا,Opera çok etkileyici.,الأوبرا مؤثرة جداً
güvenlik,B2,E-type (front),أمان,Güvenlik çok önemli.,الأمان مهم جداً.
oksijen,B2,E-type (front),أكسجين,Oksijen gerekli,الأكسجين ضروري
çocuk,A1,I-type (back),طفل,Çocuklar oynuyor,الأطفال يلعبون
oyun,A2,I-type (back),لعبة,Çocuklar oyun oynuyor.,الأطفال يلعبون
süt,A1,E-type (front),حليب,Çocuklar süt sever.,الأطفال يحبون الحليب.
aslan,A1,I-type (back),أسد,Aslan hayvanların kralıdır.,الأسد ملك الحيوانات.
aslan,A2,I-type (back),أسد,Aslan kükredi.,الأسد زأر.
aslan,A2,I-type (back),أسد,Aslan güçlü bir hayvan.,الأسد حيوان قوي
tavşan,A2,I-type (back),أرنب,Tavşan zıplıyor.,الأرنب يقفز.
zemin,A1,E-type (front),أرضية,Zemin temiz.,الأرضية نظيفة.
internet,A2,E-type (front),إنترنت,İnternet çok yavaş.,الإنترنت بطيء جداً
fisyon,C2,I-type (back),انشطار,Nükleer fisyon,الانشطار النووي
füzyon,C2,E-type (front),اندماج,Nükleer füzyon,الاندماج النووي
ekonomi,B2,E-type (front),اقتصاد,Ekonomi durağan.,الاقتصاد راكد.
ağız,A1,I-type (back),فم,Ağzını aç.,افتح فمك
kapı,A1,I-type (back),باب,Kapıyı aç.,افتح الباب.
sanat,B2,I-type (back),فن,Sanat sergisi açıldı.,افتتح معرض الفن
kilogram,A2,I-type (back),كيلوغرام,İki kilogram et aldık,اشترينا كيلوغرامين من اللحم
kare,B1,E-type (front),مربع,Kare masa aldık.,اشترينا طاولة مربعة
kırmızı,A1,I-type (back),أحمر,Kırmızı gül aldım.,اشتريت وردة حمراء
mont,A2,I-type (back),معطف,Kış montu aldım.,اشتريت معطف شتاء
dergi,B1,E-type (front),مجلة,Moda dergisi aldım.,اشتريت مجلة أزياء
metre,A2,E-type (front),متر,Bir metre kumaş aldım.,اشتريت متراً من القماش
bir,A1,E-type (front),واحد,Bir kitap aldım.,اشتريت كتاباً واحداً.
yeni,A1,E-type (front),جديد,Yeni bir kitap aldım.,اشتريت كتاباً جديداً.
mağaza,A1,I-type (back),متجر,Mağazadan elbise aldım.,اشتريت فستاناً من المتجر.
diş fırçası,A2,Mixed,فرشاة أسنان,Diş fırçası aldım.,اشتريت فرشاة الأسنان.
ayçiçek yağı,B1,Mixed,زيت عباد الشمس,Ayçiçek yağı aldım.,اشتريت زيت عباد الشمس.
eczane,A1,I-type (back),صيدلية,Eczaneden ilaç aldım.,اشتريت دواء من الصيدلية.
eczane,A1,I-type (back),صيدلية,Eczaneden ilaç aldım.,اشتريت دواء من الصيدلية.
eczane,A1,I-type (back),صيدلية,Eczaneden ilaç aldım.,اشتريت دواء من الصيدلية.
eczane,A2,E-type (front),صيدلية,Eczaneden ilaç aldım,اشتريت دواء من الصيدلية
pazar,A1,I-type (back),سوق,Pazardan sebze aldım.,اشتريت خضروات من السوق.
market,A1,I-type (back),السوبر ماركت,Marketten ekmek aldım.,اشتريت خبزاً من السوبر ماركت.
ekmek,A1,E-type (front),خبز,Taze ekmek aldım.,اشتريت خبزاً طازجاً
yüzük,B1,E-type (front),خاتم,Altın yüzük aldım.,اشتريت خاتماً ذهبياً
bakkal,A1,I-type (back),بقال,Bakkaldan süt aldım.,اشتريت حليباً من البقال.
ayakkabı,A2,I-type (back),حذاء,Yeni ayakkabı aldım.,اشتريت حذاءً جديداً
bilet,A1,E-type (front),تذكرة,Bilet aldım,اشتريت تذكرة
bilet,A2,E-type (front),تذكرة,Bilet aldım.,اشتريت تذكرة
pantolon,A1,I-type (back),بنطلون,Mavi pantolon aldım.,اشتريت بنطلوناً أزرق.
pantolon,A2,I-type (back),بنطلون,Mavi pantolon aldım.,اشتريت بنطلوناً أزرق
hisse,B2,E-type (front),سهم,Hisse senedi aldım.,اشتريت أسهماً
deterjan,A2,I-type (back),منظف,Deterjan aldım.,اشتريت المنظف.
un,B1,I-type (back),دقيق,Un aldım.,اشتريت الدقيق
ekmek,A1,E-type (front),خبز,Ekmek aldım.,اشتريت الخبز.
kırmızı,A1,I-type (back),أحمر,Kırmızı bir araba aldı.,اشترى سيارة حمراء.
kalkmak,A1,I-type (back),يستيقظ,Sabah erken kalktım.,استيقظت مبكراً في الصباح.
sabah,A1,I-type (back),صباح,Sabah erkenden kalktım.,استيقظت باكراً في الصباح.
kalkmak,A1,I-type (back),يستيقظ,Sabah erken kalktım.,استيقظت باكراً في الصباح.
sabah,A1,I-type (back),صباح,Sabah erken kalk,استيقظ مبكراً في الصباح
erken,A1,E-type (front),مبكر,Erken kalk,استيقظ مبكراً
rahatlamak,B1,I-type (back),يسترخي,Müzik dinleyerek rahatladım.,استرخيت بالاستماع إلى الموسيقى
taksi,A1,I-type (back),تاكسي,Taksi çağırdım.,استدعيت تاكسي.
taksi,A2,I-type (back),سيارة أجرة,Taksi çağırdım.,استدعيت تاكسي
soya sosu,B1,Mixed,صوص الصويا,Soya sosu kullandım.,استخدمت صوص الصويا.
kişniş,B2,E-type (front),كزبرة,Kişniş tohumu kullandım.,استخدمت بذور الكزبرة.
biberiye,B1,E-type (front),إكليل الجبل,Biberiye kullandım.,استخدمت إكليل الجبل.
spatula,B1,I-type (back),ملعقة مسطحة,Spatula kullandım.,استخدمت الملعقة المسطحة.
suç,B2,I-type (back),جريمة,Suç işledi.,ارتكب جريمة.
ateş,A1,E-type (front),حمى,Ateşim yükseldi.,ارتفعت حرارتي.
faiz,B2,I-type (back),فائدة,Faiz oranı yükseldi.,ارتفع معدل الفائدة
alkış,B2,I-type (back),تصفيق,Alkış sesi yükseldi.,ارتفع صوت التصفيق
dolar,A2,I-type (back),دولار,Dolar yükseldi.,ارتفع الدولار
yükseklik,A2,E-type,ارتفاع,İki metre yükseklik,ارتفاع مترين
giyinmek,A1,E-type (front),يرتدي الملابس,Hızlıca giyindim.,ارتديت ملابسي بسرعة.
eldiven,A2,E-type (front),قفازات,Eldivenlerimi taktım.,ارتديت قفازاتي.
gömlek,A1,I-type (back),قميص,Beyaz gömlek giydi.,ارتدى قميصاً أبيض.
tentürdiyot,C1,E-type (front),صبغة يود,Tentürdiyot sür,ادهن صبغة اليود
merhem,B1,E-type (front),مرهم,Merhem sür,ادهن المرهم
buluş,B2,I-type (back),اختراع,Yeni bir buluş yaptı.,اخترع اختراعاً جديداً
önemli,A2,E-type (front),مهم,Önemli toplantı,اجتماع مهم
bağlanmak,B1,I-type (back),بالاتصال,İnternete bağlandım.,اتصلت بالإنترنت.
hükümet,B2,E-type (front),حكومة,Hükümet yeni karar aldı.,اتخذت الحكومة قراراً جديداً.
oğul,A1,I-type (back),ابن,Oğlum okula gidiyor.,ابني يذهب للمدرسة.
oğul,A2,I-type (back),ابن,Oğlum okula gidiyor,ابني يذهب إلى المدرسة
kız,A1,I-type (back),فتاة/ابنة,Kızım çok akıllı.,ابنتي ذكية جداً.
kız,A1,E-type (front),بنت,Kızım çok akıllı,ابنتي ذكية جداً
kızı,A1,I-type (back),ابنة,Kızım dans ediyor.,ابنتي ترقص.
kuzen,A2,E-type (front),ابن/بنت عم أو خال,Kuzenim benimle aynı yaşta,ابن/بنت عمي في نفس عمري
yeğen,A2,E-type (front),ابن/بنت أخ أو أخت,Yeğenim çok akıllı,ابن/بنت أخي ذكي/ة جداً
